Steam ID,Avg Assists,Avg Kills,Avg Deaths,Last Hits,Denies,Games Dire,Games Radiant,Total Games,GPM,XPM,Hero Damage,Hero Healing,Level,Wins,Losses,Gold Spent,Tower Damage,KAL,KDA,Winrate
102099826,11.7182971,4.866847826,4.630434783,121.7581522,4.374094203,534,570,1104,374.0371377,420.7572464,10391.0899,1359.75,17.38405797,656,448,11526.72414,659.5381773,4.244107237,3.581768388,0.594202899
41470731,9.810688406,3.245471014,4.757246377,53.89130435,1.349637681,509,595,1104,269.0471014,292.5353261,6596.400641,1016.272436,13.47826087,637,467,8902.884615,371.6314103,3.08122386,2.744478294,0.576992754
89249333,11.15454545,3.356363636,4.377272727,64.40545455,2.691818182,513,587,1100,292.1590909,318.9518182,7754.79798,1020.765152,14.29090909,698,402,10266.89394,836.1868687,3.809421108,3.315057113,0.634545455
88508515,8.309306569,7.13959854,3.392335766,260.1925182,18.62956204,537,559,1096,562.6888686,544.1368613,13019.22013,178.7232704,18.82481752,699,397,19362.73585,3076.572327,5.285661895,4.554061323,0.637773723
86750262,9.056221198,5.823963134,3.816589862,160.8147465,12.41658986,535,550,1085,438.3511521,472.8663594,14705.78088,69.26693227,17.05529954,602,483,16341.89243,1804.605578,4.55212954,3.898816711,0.55483871
111189717,10.23425926,6.194444444,5.021296296,197.7824074,10.99074074,578,502,1080,463.4657407,492.8472222,16776.6913,425.426087,18.76666667,582,498,15464.42029,1506.553623,3.783581176,3.271805274,0.538888889
91443418,11.85542169,4.110287303,5.121408712,103.2798888,5.599629286,511,568,1079,350.1705283,385.6858202,8423.444444,1207.442857,16.36978684,630,449,10225.97619,553.3174603,3.642990927,3.117444806,0.583873957
88719902,9.826530612,5.239332096,4.738404453,159.0899814,5.056586271,499,579,1078,406.4619666,429.9072356,14021.29817,201.0229358,17.00927644,593,485,15159.52982,2057.330275,3.859476158,3.179522318,0.550092764
177416702,9.265306122,7.251391466,3.504638219,296.419295,13.58070501,618,460,1078,590.6920223,583.6391466,18709.01558,134.9423676,20.6716141,662,416,19940.99688,4069.439252,5.457949752,4.712811011,0.614100186
106809101,12.17625232,3.966604824,5.197588126,67.84601113,3.19109462,578,500,1078,299.4146568,343.5686456,8683.242627,1329.613941,15.67254174,635,443,10551.05228,543.5335121,3.476460736,3.105836159,0.589053803
87360406,8.739981361,6.129543336,3.875116496,213.334576,8.78751165,528,545,1073,475.8098788,487.0708295,12972.30523,436.6976744,18.0111836,592,481,16481.93314,2674.56686,4.822966386,3.837181337,0.551724138
134276083,11.75164011,4.489222118,5.711340206,161.7628866,7.369259606,494,573,1067,415.2539831,464.2830366,12432.52694,606.0646552,18.28022493,630,437,13227.06897,1067.217672,3.283505663,2.843616672,0.590440487
87012746,11.08169014,3.992488263,4.183098592,175.9793427,7.851643192,491,574,1065,416.5859155,450.8779343,10520.04096,685.9954494,18.04413146,626,439,13366.40501,845.8850967,4.346741933,3.60359147,0.587793427
86785083,10.62218045,4.168233083,4.640977444,139.7518797,4.385338346,524,540,1064,390.625,432.2650376,10540.50485,687.2803398,17.25281955,552,512,12955.54005,984.2269417,3.814208932,3.18691778,0.518796993
